file	tier	tests	assertions	lines	story	stubs	touches	hostile	flags	ported
Accordion/Accordion.test.ts	T2-mechanical	27	32	291	mounts	-	focusApi	-	axe,spyOn,ssr	yes
AlertDialog/AlertDialog.test.ts	T2-mechanical	4	6	55	mounts	-	focusApi	-	axe	yes
AspectRatio/AspectRatio.test.ts	T4-hostile	2	2	30	exists	-	-	snapshot	axe	yes
Autocomplete/Autocomplete.test.ts	T3-payoff	25	32	299	mounts	ResizeObserver,pointerCapture,scrollIntoView,getComputedStyle	ResizeObserver,pointerCapture,scrollIntoView,computedStyle	-	axe,keyboardEvents	yes
Avatar/Avatar.test.ts	T4-hostile	8	10	102	mounts	-	-	snapshot	axe	yes
Calendar/Calendar.test.ts	T2-mechanical	52	200	1039	mounts	-	focusApi	-	axe,keyboardEvents	yes
Checkbox/Checkbox.test.ts	T3-payoff	26	35	322	mounts	ResizeObserver	ResizeObserver	-	axe,spyOn	yes
Collapsible/Collapsible.test.ts	T2-mechanical	11	14	128	mounts	-	-	-	axe	yes
Collection/Collection.test.ts	T2-mechanical	5	14	181	none	-	-	-	-	yes
ColorArea/ColorArea.test.ts	T3-payoff	64	91	567	mounts	pointerCapture	pointerCapture,coords,focusApi	-	axe,pointerEvents,keyboardEvents	yes
ColorField/ColorField.test.ts	T2-mechanical	29	41	381	mounts	-	-	-	axe,keyboardEvents	yes
ColorSlider/ColorSlider.test.ts	T3-payoff	16	25	214	mounts	ResizeObserver,pointerCapture,scrollIntoView	ResizeObserver,pointerCapture,scrollIntoView	-	axe,keyboardEvents	yes
ColorSwatch/ColorSwatch.test.ts	T2-mechanical	17	20	154	exists	-	-	-	axe,spyOn	yes
ColorSwatchPicker/ColorSwatchPicker.test.ts	T2-mechanical	9	14	77	mounts	-	-	-	axe	yes
Combobox/Combobox.test.ts	T3-payoff	45	67	896	mounts	ResizeObserver,pointerCapture,scrollIntoView,getBoundingClientRect,getComputedStyle	ResizeObserver,pointerCapture,scrollIntoView,rects,computedStyle,rAF,focusApi	-	axe,pointerEvents,keyboardEvents	yes
ConfigProvider/ConfigProvider.test.ts	T4-hostile	8	14	111	none	ResizeObserver	ResizeObserver,rects	moduleMock	-	yes
ContextMenu/ContextMenu.test.ts	T3-payoff	3	3	39	mounts	ResizeObserver	ResizeObserver	-	axe	yes
DateField/DateField.test.ts	T2-mechanical	62	156	1162	mounts	-	-	-	axe,keyboardEvents	yes
DatePicker/DatePicker.test.ts	T2-mechanical	20	66	473	mounts	-	-	-	axe	yes
DateRangeField/DateRangeField.test.ts	T2-mechanical	8	43	212	mounts	-	-	-	axe	yes
DateRangePicker/DateRangePicker.test.ts	T2-mechanical	13	46	321	mounts	-	-	-	axe	yes
Dialog/Dialog.test.ts	T2-mechanical	29	40	544	exists	-	focusApi	-	axe,spyOn,pointerEvents	yes
DismissableLayer/DismissableLayer.test.ts	T2-mechanical	20	51	494	mounts	-	focusApi	-	pointerEvents	yes
Drawer/Drawer.snap.test.ts	T3-payoff	6	14	376	exists	pointerCapture	ResizeObserver,pointerCapture,rects,coords	-	pointerEvents	yes
Drawer/Drawer.test.ts	T2-mechanical	11	13	199	exists	-	focusApi	-	axe,spyOn	yes
Drawer/composables/useDrawerSnapPoints.test.ts	T2-mechanical	16	20	262	none	-	-	-	-	yes
